episode,description,rating,number of votes,air date,Season,Episode,Title
S7.E10 ∙ Stakes Part 5: May I Come In?,"Marceline, Bonnibel, Finn, Jake and Lumpy Space Princess fight a more traditional vampire, The Hierophant.",9.0,1.5K,"Wed, Nov 18, 2015",7,10,Stakes Part 5: May I Come In?
S7.E11 ∙ Stakes Part 6: Take Her Back,Princess Bubblegum searches for a cure for Marceline and Finn and Jake battle a vampire.,9.0,1.5K,"Wed, Nov 18, 2015",7,11,Stakes Part 6: Take Her Back
S7.E12 ∙ Stakes Part 7: Checkmate,Marceline's archenemy visits and makes an odd proposal right before battle.,9.1,1.6K,"Thu, Nov 19, 2015",7,12,Stakes Part 7: Checkmate
S7.E13 ∙ Stakes Part 8: The Dark Cloud,"Following the release of the Vampire King's Vampuric essence, Finn, Jake, and Princess Bubblegum are forced into a fight against the seemingly unstoppable force without the aid of a depressed Marceline.",9.2,1.6K,"Thu, Nov 19, 2015",7,13,Stakes Part 8: The Dark Cloud
S7.E14 ∙ The More You Moe,"On BMO's birthday, Moe comes to visit and give BMO a special birthday mission. But while BMO is away, Moe begins to overstay his welcome at the tree house.",8.1,1.3K,"Thu, Dec 3, 2015",7,14,The More You Moe
S7.E15 ∙ The Moe You Know,BMO continues its quest to adulthood. It'll discover that something went wrong in the factory where all the MOs where created.,8.6,1.3K,"Thu, Dec 3, 2015",7,15,The Moe You Know
S7.E16 ∙ Summer Showers,"Jake's Daughter, Viola helps LSP with her play, Summer Showers.",7.3,1.3K,"Thu, Jan 7, 2016",7,16,Summer Showers
S7.E17 ∙ Angel Face,BMO creates a live action role-play bounty mission and sets out with Jake as his steed to capture the infamous 'Jack Rabbit Johnson'.,7.5,1.2K,"Mon, Jan 11, 2016",7,17,Angel Face
S7.E18 ∙ President Porpoise Is Missing!,"When Jake's video chat buddy goes missing, he must go look for him with Finn in Banana Man's submarine.",6.7,1.3K,"Tue, Jan 12, 2016",7,18,President Porpoise Is Missing!
S7.E19 ∙ Blank Eyed Girl,"A radio program broadcasts the most strange news, a blank eyed girl is going around scaring the inhabitants of Kandy Kingdom. Beware of the Blank Eyed Girl, it's coming for you.",8.2,1.4K,"Wed, Jan 13, 2016",7,19,Blank Eyed Girl
